Tile,preds,composite,date,LST_Mask,S2_Mask,ET_var,Mask_Name,name_var,vmax,vmin,vp25,vp50,vp75,vlenght
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,VZA,28.219425,19.796047,21.641136169433594,23.70132064819336,24.920625686645508,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,VZA,28.219425,19.950466,23.3920955657959,23.70098876953125,24.08589744567871,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,VZA_at_acq_file_sub,28,20,21.0,22.0,26.0,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,VZA_at_acq_file_sub,28,20,23.0,24.0,24.0,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,VZA_at_acq_file_sub,28,20,22.0,24.0,25.0,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,VZA_at_acq_file_sub,28,20,23.0,24.0,24.0,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,WSPEED,7.3310246,4.580289,4.705861806869507,4.744652986526489,4.7850117683410645,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,WSPEED,7.3932443,4.582296,6.956335425376892,7.156128883361816,7.231842398643494,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,WSPEED,7.3932443,4.580289,4.741247653961182,4.857975006103516,7.158596515655518,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,WSPEED,7.39307,4.5932627,7.13720703125,7.205717086791992,7.246575117111206,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,ZEN,99.13665,34.47332,95.59700965881348,99.00749206542969,99.06623840332031,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,ZEN,99.13679,34.39052,34.564998626708984,34.61604690551758,34.959707260131836,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,ZEN,99.13679,34.39052,34.601226806640625,95.46881866455078,99.00232696533203,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,ZEN,99.04774,34.393993,34.55648994445801,34.60255813598633,34.6580696105957,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,aspect_sub,360,0,85.0,173.0,274.0,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,aspect_sub,360,0,81.0,165.0,266.0,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,aspect_sub,360,0,84.0,172.0,275.0,600009
